일주,항목,내용,남자,여자,조건,결과,조건식
庚子,13,◈ 일주론 해석 - 庚子 (경자)일주 </br></br>경자일생은 상관사궁입니다. 외견이 고고하고 도도합니다. 동시에 식상은 록왕에 좌하여 기세가 왕합니다. 응당 예리한 비판력을 갖추고 있으며 다재다능하고 문장이나 언어가 수려한 특징이 있습니다.</br>금한수냉은 겉은 견고하고 화려할지언정 내면에는 늘 고독한 기운이 감돕니다. 싫증이나 권태를 빨리 느끼는 형으로 뇌봉뇌별하는 경향이 짙습니다.</br>이 사람은 대체로 의리지상인바 강자에 강하며 약자에게는 약한 유형으로 하극상의 기질을 내포합니다. 식상만 있고 재는 없으므로 유시무종이 되기 쉬운데 종종 주위를 생각지 않고 제 주장만 할 때가 있습니다.</br>팔자에 화토의 글자가 잘 배합돼야 상격을 이뤄 공명을 이룹니다. 보통의 경우는 인수태종으로 대개 학업이 부진한 편입니다. ,재성욕종으로 남명의 처는 미모일 가능성이 높고 상관생재로 배우자에게 잘 하는 편입니다. 자수의 사궁은 이박. 즉 귀가 얇아 타인에게 이용을 당하는 형편을 암시하는 요인이 되기도 합니다.,여성은 대개 피부가 희고 고운 미인 형이 많습니다. 이성을 보는 눈이 높지만 관성태종으로 남편은 기대 이하로 봅니다. 상관사궁은 자식 하나를 잃는다는 뜻을 내포합니다. 또 남편의 자리에 자식이 있는 형국으로 배우자의 부족함을 자식으로 채우려 하는 속성이 나타납니다. 득자별부하는 경우도 있지요 ,오운에는 ,욕사의 충 물상이 성립돼 배우자와 갈등하고 상관견관의 흉의가 극명하게 나타날 공산이 큽니다. ,if (hn_lj === '午' || hn_yj === '午'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛丑,01,만물이 얼어붙어 안으로 생명활동을 유지하는 모양입니다. 고로 매사에 활동적인 역할보다는 수동적인 역할로서 재물 활동을 이루고 직업 활동도 이룸을 의미합니다.  천성이 만인을 기르고 가르치는 교육. 육영. 요식. 축산. 원예 등에 인연이 있음을 의미합니다. 지지 편인은 기술적인 교육. 육영을 의미하므로 만인을 기르고 가르치는 곳에 어울리는 성품입니다. 또한 항상 도덕. 종교. 철학 등에 관심을 갖게 됩니다. 그러나 세속적인 일에 대해서는 깊은 관심이 있더라도 적극성이 부족하므로 큰 성공을 기대하기는 부족한 성품입니다,,,팔자에 목. 화가 갖추어져 있으면. ,일평생 평탄한 인생을 살게 됩니다. ,if (1<nr_oh1<4 && 1<nr_oh2<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛丑,02,대체로 부친인연이 짧고 모친인연이 깊을 운에. 매사에 모친의 간섭으로 인하여 갈등. 고통이 오는 수도 있습니다. ,남자의 경우는 처의 인연이 약하여 대체로 부부인연이 고르지 못한 경우가 많습니다.  자식은 남자의 경우 아들딸 고르겠습니다. ,여자의 경우도 남편 인연이 좋지 못한 경우가 많습니다.  남편이 바람을 피우는 경우도 있을 수 있습니다. 자식은 여자는 자식이 드물거나 아들이 적다하겠습니다. ,,,
辛丑,03,재능. 기술과 적당한 인내. 노력을 의미하므로 소년 학문길 대체로 좋은 성적을 유지합니다. 공부운 대체로 무난하나. 남녀 공히 늦게까지 공부 인연하는 경우가 많습니다,성공의 전공길 남자는 공학. 상과. 전문기술. 의.약 등이 됩니다.  ,성공의 전공길 여자는 어학. 교육. 전문기술이 됩니다.  ,팔자에 목. 화가 부족하고 금. 수가 많으면. ,매사가 얼어붙는 모양이 되므로 학문 발휘가 저조할 수도 있습니다. ,if (nr_oh1<2 && nr_oh2<2 && nr_oh4>2 && nr_oh5>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛丑,04,남녀 공히 일찍 연애에 관심을 두더라도 과정이 순조롭지 못합니다. 연애가 있다 하더라도 좋은 결과는 힘들다 하겠습니다. 또한 모친의 간섭으로 인하여 배우자 결정에 갈등. 고통이 지날 수 있습니다.  </br>남녀 공히 배우자 인연이 순조롭지 못한 경우가 많으니 주의 하여야 합니다,좋은 배필 인연으로 남자는 쥐띠. 소띠. 범띠. 토끼띠. 뱀띠. 말띠. 돼지띠 여자가 좋은 인연이 됩니다. ,좋은 배필 인연으로 여자는 쥐띠. 소띠. 범띠. 뱀띠. 말띠. 양띠. 개띠 남자가 좋은 인연이 됩니다. ,,,
辛丑,05,지지 편인은 재능. 기술. 인내를 의미하므로 자기사업 성향이 강한 편이지만. 직장이나 사업 인연이 고른 편입니다. 조직 직장길의 경우는 전문직 공직. 기술직. 의약관련 분야. 일반 회사조직 등이 많고. 사업길은 전문 기술사업. 의약 관련사업. 교육 사업. 임대 사업 등이 많습니다. 재능이나 기술은 뛰어난 편이지만 재물 인연은 깊지 못한 경우가 많습니다,,,,,
辛丑,06,성품이 침착 할지라도 매사 자기중심적이고.  재능을 과신하므로 인간관계에 고통을 당하는 경우가 많습니다.  또 매사를 적극적으로 밀어붙이지 못하므로 큰 성공을 기대하기도 힘듭니다. 그로 인하여 결혼이 늦어지거나 혼자 사는 경우가 많습니다,,,,,
辛丑,07,축에는 신금이 내장되어 이 글자는 쌍신이 되는 것이니 마치  소뿔과 같아 누군가가 자존심을 건들거나 해치려하면 몹시 분개하고 복수를 벼릅니다. 철근으로 촘촘히 짜여진 모습은 신용이 있고 근면하여 어려운 일도 반드시 극복 해내는 남다른 근기를 의미합니다. 곡각과 현침이 겹쳐 배우자궁에 근심이 서리고 여성은 몇 차례의 낙태를 경험하게 됩니다.  이 사람은 흑백이 분명하고 특유의 아집이 있어 때때로 비판할 때가 있는데 대개 육친이 건전하지 못한 환경에서 성장하면서 나타난 기질이라 할 수 있습니다.,,,,,
辛丑,08,38 辛丑 (癸9 辛3 己18)</br>養 곡각(曲脚) 효신(梟神)</br></br>신용과 의리가 있고. 근면하며 아무리 어려운 일이라도 반드시 결실을 보는 남다른 근기(根氣)가 있다. 첫인상은 다소 냉정해보이고. 아집(我執)이 대단하다. 효신(梟神)은 조실자모(早失慈母)인데 아니면 편모슬하(偏母膝下)며 부선망(父先亡)에 이복형제가 있기도 하다. 성격이 꼼꼼하고. 무척 현실적인 성격으로 향후 다가올 일에 대한 생각이 많은 편이다. 남의 일로 인한 걱정이나 고민도 적지 않다. 또한 辛金은 이용가치가 없으면 냉혹하게 잘라버리는 기질이 있는데. 흑백(黑白)이 분명하다 볼 수 있다. 이러한 성질은 자기 마음에 드는 상대에 대해서는 최선을 다해 보호할 마음의 준비가 되어 있음을 의미하기도 한다.</br>일지(日支) 편인(偏印)은 건드리지 않으면 양반이나. 일단 누가 자존심을 건드리면 참지 못한다. 직관적으로 감지하는 능력이 뛰어나므로 대처가 신속하다. 辛金의 특징은 급하고 예리한 성정과 동시에 일단 이성적으로 대처한다는 점에 있다. 자존심을 찾는데 시간은 문제가 되지 않으므로 후일 두고 보자!는 식의 독심(毒心)을 품기도 한다. 식신(食神)은 그 방법을 궁리하는 작용을 한다. 한편 탕화(湯火)이 기운이 내재하여 시시로 비관하는 일도 있다.</br>남녀 공히 신경이 예민하고. 종교 신앙 등에 깊은 인연을 맺게 된다. ,남명(男命)은 재주와 재치가 있으나 도량이 넓은 편은 아니며 맡은 일에 꼼꼼하고 성실하므로 신용 위주의 삶을 영위하는 편이다. 처덕(妻德)은 있는 편이나. 처궁(妻宮)이 불리하여 편치 않으며. 모처(母妻)의 불화로 고심하는 일이 있다. ,곤명(坤命)은 총명하지만 박복(薄福)한 편으로 인생에 막힘이 많고. 남편과 자식 복이 없으니 세상살이에 락(樂)이 없다는 생각이 들 때가 있다. 친모봉양(親母奉養)에 타자양육(他子養育)은 인수(印綬)와 식신(食神)이 화개(華蓋)지에 임(臨)함이다. 혼전(婚前)에 낙태(落胎)하는 일을 겪기 쉬우니 주의할 일이다 ,,,
辛丑,09,1. 쌍신(雙辛)의 소뿔 상은 누군가가 자존심을 건들면 몹시 분개하고. 벼르게 됨을 뜻한다.,2. 처자유덕(妻子有德)이나. 모처불합(母妻不合)을 면할 길 없고 처(妻)의 비관이 염려된다.,3. 미모(美貌)로 남편의 사랑을 받으나. 만족이 어렵고 일부종사(一夫從事)가 어렵다 ,,,
辛丑,10,,男命은 호색(好色)하는 편으로 애정이 깊고. 지극히 자연스럽게 화합(和合)하여 서로 즐겁게 만족하는 담백한 타입이다.,女命은 신장이 강해 섹스에 강한 편이다. 욕구가 대단히 강렬할 때와 담백할 때가 교차하고. 간혹 큰 파도가 밀려오는 것처럼 처치 곤란할 정도로 격렬할 때가 있다 ,,,
辛丑,11,비위(脾胃). 폐 계통의 질환을 조심해야 하며. 화상의 흉터에 냉증(冷症)이 염려된다. 이 외 담석. 신경통. 우울증. 간질환. 뇌일혈 등을 겪을 수 있으며 수술수(手術數)가 있다. 간혹 약물중독 등을 보이기도 하며. 가스나 화재 사고 등에도 유의해야 한다.</br>辛: 폐(肺). 다리</br>丑: 위(胃). 비장(脾臟). 좌측다리 ,,,,,
辛丑,12,무관. 교육. 공무원. 학자. 의사 등이 좋으며. 지하에서 철근으로 기초공사를 하는 형상으로 설계. 비철금속. 문화. 종교 등의 사업이 적합하다,,,,,
辛丑,13,◈ 일주론 해석 - 신축 (辛丑)일주 </br></br>신축일생은 인수 양궁입니다. 모친과 인연이 깊지요. 보통 부선망입니다. 재성대종에 양지니까 부친은 환자 물상을 짓습니다. 그런데 인수묘지로 육친이 유력한 양상은 아닙니다. 이러면 부양에 초점을 맞춥니다.</br>비견이 되는 신금이 또한 양지에 놓여 형제는 의약업계나 육영계통에 종사하는 경우가 많습니다. 일지의 비화에다 식신대지로 이 사람은 근면하고 아무리 어려운 일이라도 반드시 결실을 보는 남다른 근기가 있습니다. 물론 아집이 강합니다. 자비가 있지만 본인 마음에 들어야만 동정을 보입니다. 자존심에 상처를 입으면 참지 못합니다.</br>재성대종으로 착실히 재물을 모으는 편입니다. 흑백이 분명하고 냉정한 기질이 있습니다. 인수 화개로 자연스럽게 도덕이나 철학. 종교 등에 관심을 가집니다. 반면 신금은 냉정한 이성을 뜻합니다. 그래서 현실적인 성향을 버리진 못합니다. 속에 칼을 품는 상이라 후일 두고 보자는 식의 독심을 품기도 합니다.,남명은 처자의 덕이 있는 편이지만 모친과의 갈등이 빚어내는 고통을 안습니다.,여성은 정관양종으로 천살의 물상이 겹쳐 종내 남편을 부양하는 식의 쓰라림이 있습니다. 쌍신이 허관을 합래하여 종종 연애는 하지만 정작 결혼이나 일부종사는 무리가 따릅니다. 배우자의 자리에 어머니가 있는 격이니 친모를 봉양하고 타자 양육할 팔자입니다. 식신 또한 천살과 월살이 겹쳐 낙태를 겪을 우려가 큽니다 ,,,
壬寅,01,생명의 물로서 만물을 길러내는 기운을 의미합니다. 고로 그 뜻이 만인에게 베풀고 거느리고 살 것을 의미합니다. 평생 식록이 있고 재물도 순탄한 편이며. 세속적인 일에 관심이 있고 활동도 왕성할 것을 의미합니다. 타인에 대한 동정심. 베품이 많을 운에. 두뇌 총명하고 재물을 벌어들이기 위한 재능도 있는 모양입니다. 남녀 공히 큰 재물을 수시로 꿈꾸는데 운이 좋으면 큰 부자도 이룰 수 있습니다. 도량이 넓고 지혜도 있어 매사를 지혜롭게 베풀면서 사는 성품입니다. 항상 새로운 일을 창조하는 성품이요. 명분이 있으면 밀어 붙이는 성품입니다. 융통성도 있고 사교성도 적절하여 평생 의식 걱정은 없이 사는 모양입니다,,,팔자에 신이 있으면. ,평생 의식을 구하여 돌아다니는 모양이 되므로 인생이 고단할 수 있습니다. ,if (sj_ganji.includes('申')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬寅,01a,,,,팔자에 화가 있으면. ,항상 인기를 모을 수 있습니다.  ,if (nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬寅,01b,,,,금이 있으면. ,학문과 인격이 적절합니다. ,if (nr_oh4>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬寅,02,대체로 부친인연이 깊고 모친인연이 짧을 운에. 자기표현이 능숙하므로 부모와 잘 화합하지 않지만. 융통성 있는 처세로 극복하는 운입니다. ,,자식운 여자는 대체로 아들이 많고. 성공하는 아들이 있습니다,남자의 경우 수와 화가 고르면 ,아들딸이 고릅니다. ,if (gendr === '남양' && 1<nr_oh5<4 && 1<nr_oh2<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬寅,03,융통성과 두뇌 총명의 별로. 인내 노력 공부보다 두뇌 공부가 앞서는 운에 일찍 학문 발휘가 있다가도 세월이 흐르면서 인내 노력이 부족하여 긴 공부. 큰 시험에는 좋은 결과를 거두지 못하는 경우가 많습니다.  소년에 학문 발휘가 있더라도 세월이 흐르면서 재물에 눈뜨므로 대체로 돈이 되는 학문인연이 많고. 재물을 얻기 위한 수단으로 학문을 성취하게 되는 운입니다,성공의 전공길 남자는 상과. 어학. 교육. 스포츠. 공학 등이 됩니다. ,성공의 전공길 여자는 상과. 가정관리학. 어학. 교육. 식품영양학 등이 됩니다. ,,,
壬寅,04,지지 식신은 남자의 경우 이성에 대한 관심이 되고. 여자는 자신의 표현력이 되므로 일찍부터 이성에 대한 관심이 깊고. 연애도 있어 보게 됩니다. 자신의 뜻대로 밀어붙이는 기운으로 배우자 결정에 부모와 갈등이 지날 수 있습니다.  ,남자의 경우는 자식이 들어서고 결혼하는 경우가 많습니다. </br>좋은 배필 인연으로 남자는 범띠. 토끼띠. 뱀띠. 말띠. 개띠. 돼지띠 여자가 좋은 인연입니다. </br>남자는 처의 기가 강하여 수시로 갈등이 오는 수 있습니다. ,좋은 배필 인연으로 여자는 소띠. 범띠. 토끼띠. 용띠. 뱀띠. 말띠. 양띠. 개띠. 돼지띠 남자가 좋은 인연입니다. </br>여자의 경우 자식이 나고 나면 남편의 기운이 약화되므로 자식이 10세. 20세를 전후하면 배필에 고통 (생.사 이별)이 올 수도 있습니다. ,,,
壬寅,05,지지 식신은 재물에 관한 융통성. 재능을 의미하므로 조직 직장길 보다 사업길에 인연이 많습니다. 조직 직장길에 가는 사람이라도 자신이 사업을 하던지 처가 사업을 하게 됩니다. 조직 직장길의 경우 운수. 금융. 요식 유흥분야. 토목. 건설. 교육. 전문기술. 등에 인연이 많고. 자기 사업길은 운수. 용역. 요식. 교육. 전문기술. 토목. 건축 등에 인연하게 됩니다. 투기성 사업도 수시로 꿈꾸게 됩니다.,,,,,
壬寅,06,평생 의식이 풍족하고 재물 인연은 좋습니다. ,남자는 처의 기가 강하고.  장모 동거를 하는 수 있습니다. ,여자는 남편으로 인한 고통이 따를 수 있습니다. 여자는 재물을 버는 장소에 숨은 애인이 올 수도 있습니다. ,팔자 내에 신의 글자가 있으면. ,평생 분주하고 역마와 관련된 분야에서 직업을 이루지만 큰 재물을 이루기는 힘들 수 있습니다. ,if (sj_ganji.includes('申')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬寅,06a,,,,운에서 신을 만나면. ,재물. 배필인연. 사고 등에 고통을 당할 수도 있습니다. ,if (hn_lj === '申' || hn_yj === '申'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
